840.188 394.383 783.099 0
911.647 197.551 335.223 1
277.775 553.97 477.397 0
364.784 513.401 952.23 1
635.712 717.297 141.603 1
16.3006 242.887 137.232 0
156.679 400.944 129.79 0
998.925 218.257 512.932 1
612.64 296.032 637.552 0
493.583 972.775 292.517 1
526.745 769.914 400.229 0
283.315 352.458 807.725 1
69.7553 949.327 525.995 1
192.214 663.227 890.233 0
64.1713 20.023 457.702 0
238.28 970.634 902.208 0
266.666 539.76 375.207 0
512.535 667.724 531.606 0
437.638 931.835 930.81 0
284.293 738.534 639.979 1
687.861 165.974 440.105 1
829.201 330.337 228.968 0
350.36 686.67 956.468 1
657.304 858.676 439.56 1
398.437 814.767 684.219 0
482.491 215.825 950.252 1
147.66 881.062 641.081 1
619.596 281.059 786.002 1
447.034 226.107 187.533 0
556.444 416.501 169.607 0
103.171 126.075 495.444 0
984.752 935.004 684.445 0
749.771 368.664 294.16 1
584.489 244.413 152.39 0
125.475 793.47 164.102 1
74.5298 950.104 52.5293 0
176.211 240.062 797.798 1
656.564 967.405 639.458 0
93.4805 134.902 520.21 0
69.9064 204.655 461.42 0
573.319 755.581 51.9388 1
999.994 204.329 889.956 1
997.799 54.0576 870.54 1
4.16161 923.069 593.892 0
163.131 391.69 913.027 1
359.095 552.485 579.43 1
687.387 99.6401 530.808 0
304.295 992.228 576.971 0
747.809 628.91 35.4209 1
833.239 925.377 873.271 0
979.434 743.811 903.366 0
666.88 497.259 163.968 1
888.949 76.9947 649.707 1
629.48 229.137 700.62 1
328.777 231.428 74.161 0
223.656 651.132 510.686 0
280.042 546.107 719.269 0
471.483 592.54 944.318 1
336.351 847.684 434.513 0
344.943 598.481 833.243 0
675.476 482.95 481.936 0
712.087 182.556 621.823 1
413.984 695.984 673.936 0
347.116 184.622 609.106 0
730.729 328.374 740.438 1
920.914 684.757 653.13 1
532.441 87.6436 260.497 0
686.125 93.7402 111.276 1
576.691 593.211 666.557 1
775.767 288.379 329.642 0
984.363 3.57857 827.391 1
188.201 436.497 958.637 0
764.871 699.075 121.143 0
383.832 774.273 943.051 0
861.917 203.548 793.657 1
297.288 904.932 909.643 1
498.144 576.2 162.757 1
864.579 492.399 463.662 1
495.977 291.053 180.421 0
727.55 139.058 603.109 0
838.134 724.252 178.208 1
498.525 121.259 138.238 0
324.807 931.895 908.485 0
836.828 818.128 496.074 1
394.327 658.831 608.883 1
151.23 72.545 107.848 0
363.598 288.27 331.386 1
427.328 934.495 583.57 1
658.747 761.778 487.427 0
883.037 625.665 517.715 0
557.561 426.199 829.939 1
244.327 326.013 729.36 1
984.845 338.243 897.56 1
410.788 5.40855 783.282 1
293.678 114.668 865.535 1
49.1625 449.105 986.467 0
210.883 473.894 865.181 0
99.5593 382.896 301.763 0
809.095 131.702 51.5083 1
457.716 780.868 692.076 1
119.111 589.637 578.635 1
595.045 361.917 304.285 1
476.585 169.82 609.729 0
618.925 596.196 233.656 1
70.0902 98.8374 923.728 0
481.733 225.491 826.769 0
357.193 878.278 344.251 0
659.146 36.3274 257.469 1
625.964 836.104 308.157 1
198.021 612.442 109.733 0
782.262 719.462 200.352 0
315.658 434.009 230.996 0
532.846 154.724 555.398 1
380.215 382.167 305.408 0
260.445 649.659 552.316 0
685.986 809.785 697.848 1
645.889 6.00477 532.96 1
618.447 642.693 518.515 0
362.154 718.867 801.897 1
152.876 32.8927 63.5606 0
187.616 618.958 700.301 0
1.12548 5.70914 305.239 1
